"x";"y";"km";"distance_to_neighbour"
12.7544401973226;48.8693813244418;2304.3;2304.3
12.7544237807516;48.8693621934588;2304.2979735125;-0.00202648750018852
12.7544122932036;48.869341557283;2304.295947025;-0.00202648750018852
12.7544060398503;48.8693199641347;2304.2939205375;-0.00202648750018852
12.7544051868113;48.8692979876563;2304.29189405;-0.00202648750018852
12.7544097567412;48.8692762116729;2304.2898675625;-0.00202648750018852
12.7544196282289;48.8692552146826;2304.287841075;-0.00202648750018852
12.7544345390234;48.8692355544882;2304.2858145875;-0.00202648750018852
12.7544540930018;48.8692177533785;2304.2837881;-0.00202648750018852
12.7545317102028;48.8691513493163;2304.2760646375;-0.00772346250050759
12.7546005223706;48.8690808467893;2304.268341175;-0.00772346250050759
12.7546600349572;48.8690067525343;2304.2606177125;-0.00772346250050759
12.754709820261;48.8689295991012;2304.25289425;-0.00772346250050759
12.7547495205002;48.8688499410248;2304.2451707875;-0.00772346250050759
12.7547788503828;48.8687683508392;2304.237447325;-0.00772346250050759
12.7547975991559;48.8686854149624;2304.2297238625;-0.00772346250050759
12.754805632119;48.8686017294815;2304.2220004;-0.00772346250050759
12.7548128019308;48.8683628476287;2304.2;-0.0220004000002518
12.7548354067012;48.867609685806;2304.14;-0.0599999999976717
