"x";"y";"km";"distance_to_neighbour"
13.2490714597553;52.7051898830283;21.0090000000055;21.0090000000055
13.248077816074;52.7057353987701;21.1000000000058;0.0910000000003492
13.2476013985749;52.7059969469421;21.1434091999981;0.0434091999923112
13.2474494915684;52.7060843809283;21.1575568999979;0.0141476999997394
13.2473045389089;52.7061760673392;21.1717045999976;0.0141476999997394
13.2471668629302;52.7062718023203;21.1858522999974;0.0141476999997394
13.2470367697933;52.7063713730135;21.1999999999971;0.0141476999997394
13.2469132298742;52.7064757295382;21.2143056999994;0.0143057000022964
13.2467980197315;52.7065835442815;21.2286114000017;0.0143057000022964
13.246244313481;52.707129786375;21.3000000000029;0.071388600001228
13.2454686688681;52.7078949491229;21.3999999999942;0.0999999999912689
13.2446929976196;52.7086601081749;21.5;0.100000000005821
13.2439172995596;52.7094252617374;21.6000000000058;0.100000000005821
13.2431415746865;52.7101904098101;21.6999999999971;0.0999999999912689
13.2423658232601;52.7109555550821;21.8000000000029;0.100000000005821
13.2415900464065;52.711720693914;21.8999999999942;0.0999999999912689
13.2408142428222;52.7124858281513;22;0.100000000005821
13.2400384125056;52.7132509577936;22.1000000000058;0.100000000005821
13.2396110736923;52.7136723883684;22.1550799999968;0.0550799999909941
13.2394410779086;52.7138457936898;22.177539999997;0.0224600000001374
13.2392797068338;52.7140222122826;22.1999999999971;0.0224600000001374
13.2391221230738;52.7142075674924;22.2232158999977;0.0232159000006504
13.2389740600867;52.7143957956495;22.2464317999984;0.0232159000006504
13.2388356598388;52.7145867164369;22.269647699999;0.0232159000006504
13.2386920272198;52.7147934717721;22.2946209999936;0.0249732999945991
13.238662080425;52.7148382524084;22.3000000000029;0.00537900000927038
13.2386009357314;52.7149427335798;22.3123419666687;0.0123419666657973
13.2385505177399;52.7150493058537;22.3246839333345;0.0123419666657973
13.2385110184698;52.7151575635135;22.3370259000003;0.0123419666657973
13.2384825883767;52.7152670944235;22.3493678666661;0.0123419666657973
13.2384653357786;52.7153774815975;22.3617098333319;0.0123419666657973
13.2384593264422;52.7154883047862;22.3740517999977;0.0123419666657902
13.2384589653655;52.7155951700677;22.3859445999988;0.0118928000010783
13.2384569239494;52.7156583031906;22.3929722999965;0.0070276999977068
13.2384512313661;52.7157213537864;22.3999999999942;0.0070276999977068
13.2384330549462;52.7158287774294;22.4120197499942;0.0120197500000359
13.2384042860788;52.7159353441316;22.4240394999943;0.0120197500000359
13.2383664103334;52.7160374074613;22.4356844333282;0.0116449333339297
13.2383188179803;52.7161379593306;22.4473293666621;0.0116449333339297
13.2382616702639;52.7162366589247;22.458974299996;0.0116449333339332
13.2380437201222;52.7165807237829;22.5;0.0410257000039564
13.2376841514589;52.7171483400444;22.5676817000058;0.0676817000057781
13.2376240057217;52.7172353926561;22.5781893666717;0.0105076666659443
13.2375553654536;52.7173200966159;22.5886970333377;0.0105076666659443
13.2374784780192;52.717402146608;22.5992047000036;0.0105076666659443
13.2374723302145;52.7174082404563;22.6000000000058;0.000795300002209842
13.2373870374422;52.7174869704965;22.6104892750045;0.0104892749986902
13.2372941308484;52.7175624564253;22.6209785500032;0.0104892749986902
13.2371939441119;52.7176344270984;22.6314678250019;0.0104892749986902
13.2370868370672;52.7177026239971;22.6419571000006;0.0104892749986902
13.2369991616982;52.717755199474;22.6502841000038;0.00832700000319164
13.2369381553711;52.7177917827731;22.6560783000023;0.00579419999849051
13.2368261989435;52.717863267272;22.667058725001;0.0109804249987064
13.2367218442273;52.7179388740067;22.6780391499997;0.0109804249987064
13.2366255019643;52.7180183054185;22.6890195749984;0.0109804249987064
13.2365375513683;52.7181012488948;22.6999999999971;0.0109804249987064
13.2364630253528;52.7181819098074;22.7102943999974;0.0102944000003227
13.2363964376178;52.7182650918064;22.7205887999977;0.0102944000003227
13.2363380185647;52.7183505071307;22.7308831999981;0.0102944000003262
13.235973676589;52.7189308248878;22.8000000000029;0.0691168000048492
13.2354465185746;52.7197704429319;22.8999999999942;0.0999999999912689
13.2349193425241;52.7206100589074;23;0.100000000005821
13.2343921469596;52.7214496728669;23.1000000000058;0.100000000005821
13.233864930403;52.7222892848629;23.1999999999971;0.0999999999912689
13.2333376971957;52.7231288938403;23.3000000000029;0.100000000005821
13.2328104430805;52.7239685017503;23.3999999999942;0.0999999999912689
13.2322831693587;52.7248081067469;23.5;0.100000000005821
13.2317558760288;52.7256477088299;23.6000000000058;0.100000000005821
13.2312285633503;52.7264873106886;23.6999999999971;0.0999999999912689
13.2307012323638;52.7273269077874;23.8000000000029;0.100000000005821
13.2301738805491;52.7281665047142;23.8999999999942;0.0999999999912689
13.2296465105975;52.7290060986738;24;0.100000000005821
13.229119119641;52.729845690668;24.1000000000058;0.100000000005821
13.2285917105449;52.7306852796945;24.1999999999971;0.0999999999912689
13.2280642819179;52.7315248667025;24.3000000000029;0.100000000005821
13.2275368338454;52.7323644525881;24.3999999999942;0.0999999999912689
13.2270093662392;52.7332040364547;24.5;0.100000000005821
13.226481878924;52.734043616509;24.6000000000058;0.100000000005821
13.2259543721591;52.7348831954403;24.6999999999971;0.0999999999912689
13.2257042605446;52.7352812619367;24.7474127000023;0.0474127000052249
13.2255679474285;52.7355025640965;24.7737063500026;0.0262936500002979
13.225436437214;52.7357249346226;24.8000000000029;0.0262936500002979
13.2252766587984;52.7360083163354;24.8333333333333;0.0333333333304218
13.2251246815175;52.736293274857;24.8666666666638;0.0333333333304218
13.2249805477279;52.736579731059;24.8999999999942;0.0333333333304253
13.2248442971029;52.7368676058698;24.9333333333295;0.0333333333352748
