"x";"y";"km";"distance_to_neighbour"
12.0451258346186;48.9855748175354;2389.17;2389.17
12.0451923762004;48.9855925070711;2389.1653619;-0.00463809999928344
12.045255332586;48.9856151792889;2389.1607238;-0.00463809999928344
12.0453138460193;48.9856425252899;2389.1560857;-0.00463809999928344
12.0453671192737;48.9856741724971;2389.1514476;-0.00463809999928344
12.045414426514;48.9857096897305;2389.1468095;-0.00463809999928344
12.045455123185;48.985748593082;2389.1421714;-0.00463809999928344
12.0457933620437;48.9861161321319;2389.10000000001;-0.0421713999967324
12.0461059803279;48.9864558255314;2389.0576664;-0.0423336000094423
12.0462097363712;48.986572561012;2389.0432498;-0.0144165999990946
12.0463080784247;48.9866913091668;2389.0288332;-0.0144165999990946
12.0464009164032;48.9868119612635;2389.0144166;-0.0144165999990946
12.0464881652591;48.9869344068258;2389;-0.0144165999990946
12.0465842747803;48.9870817772055;2388.98333333333;-0.0166666666677884
12.0466722888594;48.9872313220812;2388.96666666666;-0.0166666666677884
12.0467520940973;48.987382848899;2388.95;-0.0166666666677884
12.0468235876619;48.9875361625514;2388.93333333333;-0.0166666666677884
12.0468866774203;48.9876910656286;2388.91666666666;-0.0166666666677884
12.0469412820583;48.9878473586722;2388.89999999999;-0.0166666666668789
12.0469822448127;48.987985834306;2388.8862691;-0.0137308999983361
12.0470165461295;48.9881250918276;2388.8725382;-0.0137308999983361
12.0471688627052;48.9888124682766;2388.80493090001;-0.0676072999922326
12.0471796244912;48.9888626339672;2388.8;-0.00493090000236407
12.047210737842;48.9890316968713;2388.78333333334;-0.0166666666677884
12.047234028519;48.9892013040324;2388.76666666667;-0.0166666666677884
12.0472494749198;48.9893712987171;2388.75;-0.0166666666677884
12.0472570626903;48.9895415238328;2388.73333333333;-0.0166666666677884
12.0472567847383;48.9897118220721;2388.71666666666;-0.0166666666677884
12.04724864124;48.9898820360586;2388.7;-0.0166666666668789
12.047233976268;48.9900404652585;2388.687382675;-0.0126173249991552
12.0472124968523;48.9901985574473;2388.67476535;-0.0126173249991552
12.0471842201716;48.9903561857106;2388.662148025;-0.0126173249991552
12.0471491688617;48.990513223505;2388.6495307;-0.0126173249991552
12.0471356204349;48.990549244355;2388.64657763;-0.00295307000033063
12.0471132520997;48.9905833076763;2388.64362456;-0.00295307000033063
12.0470826733481;48.9906144852852;2388.64067149;-0.00295307000033063
12.0470447174005;48.9906419276284;2388.63771842;-0.00295307000033063
12.047000418502;48.9906648869329;2388.63476535;-0.00295307000033063
12.0469509837416;48.9906827375823;2388.63181228;-0.00295307000033063
12.0468977601595;48.9906949931649;2388.62885921;-0.00295307000033063
12.0468421980414;48.9907013197283;2388.62590614;-0.00295307000033063
12.0467858113984;48.9907015448795;2388.62295307;-0.00295307000033063
12.0467301367101;48.9906956624832;2388.62;-0.00295307000214962
