"x";"y";"km";"distance_to_neighbour"
13.1060682389175;53.1921203426581;64.3699999999953;64.3699999999953
13.1067251434066;53.1919238783912;64.3210730999999;-0.048926899995422
13.1068761246816;53.1918838353156;64.3100691;-0.0110039999999572
13.1070169470305;53.1918510631754;64.3000000000029;-0.0100690999970539
13.1070189045258;53.1918506078744;64.2998599999992;-0.00014000000373926
13.1071053607093;53.1918256292023;64.293462600006;-0.0063973999931477
13.1071814266546;53.1917939242425;64.2872885999968;-0.00617400000919588
13.1072425957089;53.1917638823634;64.2820195999957;-0.00526900000113528
13.107344738738;53.1917235765685;64.2738699000038;-0.00814969999191817
13.1074356224191;53.1917007143726;64.267299500003;-0.00657040000078268
13.1076881074032;53.1916514591938;64.2495975000056;-0.0177019999973709
13.1080921426216;53.191561076773;64.2208474000072;-0.0287500999984331
13.1083802216622;53.1914881267914;64.1999999999971;-0.0208474000100978
13.1085184526935;53.1914531412407;64.1900000000023;-0.00999999999476131
