"x";"y";"km";"distance_to_neighbour"
11.96325700265;48.9067514287166;2407.11;2407.11
11.9633556407285;48.9068295608343;2407.10000000001;-0.00999999999476131
11.9634681095437;48.9069083232514;2407.08749254;-0.0125074600014159
11.9635878768288;48.9069822624145;2407.07498508;-0.0125074600014159
11.9637144675335;48.9070510850301;2407.06247762;-0.0125074600014159
11.963847379535;48.9071145180996;2407.04997016;-0.0125074600014159
11.9639860856296;48.9071723100022;2407.0374627;-0.0125074600018706
11.9641965566341;48.9072559771805;2407.01873135;-0.0187313499991433
11.964404223675;48.9073426358561;2407;-0.0187313499991433
11.9646765598929;48.907462753143;2406.975;-0.0250000000014552
11.9649435103245;48.9075880144664;2406.95;-0.0250000000014552
11.9652048514207;48.9077183149469;2406.925;-0.0250000000014552
11.9654603643239;48.9078535454853;2406.89999999999;-0.0250000000014552
11.9657094921604;48.9079933944206;2406.875;-0.0249999999978172
11.9659523865797;48.9081379300156;2406.85;-0.0249999999978172
11.9661888447203;48.9082870315865;2406.825;-0.0249999999978172
11.9664186690893;48.908440574636;2406.8;-0.0249999999978172
11.966433808747;48.9084510060434;2406.7981846;-0.0018153999990318
11.966703160862;48.9086412887368;2406.7654564;-0.0327282000021114
11.9669657975363;48.9088356081493;2406.7327282;-0.0327282000021114
11.9672215795221;48.9090338613097;2406.7;-0.0327282000025662
11.9674754855364;48.9092401985213;2406.66666666667;-0.0333333333305745
11.9677219662752;48.9094504118624;2406.63333333334;-0.0333333333305745
11.967960885526;48.9096643852401;2406.60000000001;-0.0333333333301198
11.9681494217438;48.9098409957702;2406.575;-0.0250000000014552
11.9683328061002;48.9100199479938;2406.55;-0.0250000000014552
