"x";"y";"km";"distance_to_neighbour"
13.2389879542548;53.1386729479442;48;48
13.2389028245276;53.1384145857421;47.9704122999974;-0.0295877000025939
13.2388855955551;53.1382938215912;47.9567963000009;-0.0136159999965457
13.2389158313577;53.1381595790035;47.9415783000004;-0.0152180000004591
13.2389697445893;53.1380665417806;47.9305103999941;-0.0110679000063101
13.2390383954624;53.137989925883;47.9207337999978;-0.00977659999625757
13.2392031562112;53.1378370650121;47.9002704000013;-0.0204633999965154
13.2392053310746;53.137835044285;47.8999999999942;-0.00027040000713896
13.2392273153305;53.1378146171994;47.8972666000045;-0.00273339998966549
13.2392834767231;53.1377550048451;47.8895696999971;-0.0076969000074314
13.239336915035;53.1376720150609;47.8795722000068;-0.00999749999027699
13.2393673802833;53.1375825738931;47.8693157999951;-0.0102564000117127
13.2394747600452;53.1370509129983;47.809150400004;-0.0601653999910923
13.2394934392794;53.1369702378518;47.8000000000029;-0.00915040000109002
13.2394940308131;53.1369676807434;47.7997100000066;-0.000289999996311963
13.2395115403361;53.1369063017429;47.7927140999964;-0.00699590001022443
13.2395426905261;53.1368048838139;47.7811283000046;-0.0115857999917353
13.2395610413965;53.136736398434;47.7733355999953;-0.0077927000093041
13.2396945144091;53.1361457850856;47.7063777000003;-0.0669578999950318
13.239712921713;53.1360901018611;47.6999999999971;-0.00637770000321325
13.239716094665;53.1360805013615;47.6989004000061;-0.00109959999099374
13.2397892966578;53.1359138538935;47.6795380999974;-0.0193623000086518
13.239855372378;53.1357799006342;47.6638423999975;-0.0156956999999238
13.2399194717616;53.1356628603973;47.6499999999942;-0.013842400003341
