"ID";"verknet_BWaStrIdNr";"Bezeichnung";"section_name"
"BSK";"5401";"Berlin-Spandauer (Schifffahrts)kanal";"BSSK,HzK"
"SOW";"6501";"Spree-Oder-Wasserstraße";"SOW"
"LWK";"6504";"Landwehrkanal";"LwK"
"Neukoellner Schifffahrtskanal";"NA";"Neuköllner Schifffahrts-Kanal";"NSK"
"Panke";"NA";"Panke";"Panke"
