;tBeg;tEnd;R_volume;R_intensity;R_local;R_n;use;Q_Panke;Q_Spree1;Q_Spree0;Q_LWK;Q_Havel
E2;05.06.2011 00:00;13.06.2011 08:00;mittel + gering;hoch + mittel;nein + nein;2;1;0.179;7.64;3.7;3.36;4.81
E3;14.06.2011 00:00;28.06.2011 06:45;gering + hoch;mittel + hoch;nein + nein;2;1;0.57;10.49;6.65;2.88;0.98
