type;name;x_longitude;y_latitude;link_longitude;link_latitude;link_river_id;link_river_km
wwtp;KA Ruhleben;13.23225321;52.52608651;13.225601760489246;52.53385962214757;;
wwtp;KA Ruhleben;13.23225321;52.52608651;13.305434746878896;52.42357612260182;;
wwtp;KA Stahnsdorf;13.24586253;52.37576922;;;TeK;8.2
wwtp;KA Münchehofe;13.65923931;52.48793154;13.623006;52.466539;;
wwtp;KA Schönerlinde;13.41541749;52.66086029;13.453032;52.612439;;
wwtp;KA Schönerlinde;13.41541749;52.66086029;13.402942;52.602701;;
wwtp;KA Waßmannsdorf;13.46827876;52.38368496;;;TeK;34.66
dwtp;WW Tegel;13.267729;52.574527;;;;
dwtp;WW Friedrichshagen;13.64806107;52.45319514;;;;
dwtp;WW Beelitzhof;13.189529;52.430614;;;;
dwtp;WW Spandau;13.16186;52.55657;;;;
dwtp;WW Tiefwerder;13.216641;52.517566;;;;
dwtp;WW Kladow;13.151096;52.457128;;;;
dwtp;WW Stolpe;13.225146;52.658102;;;;
dwtp;WW Kaulsdorf;13.58688;52.49351;;;;
dwtp;WW Wuhlheide;13.53558;52.46923;;;;
