"x";"y";"distance_to_neighbour";"km"
13.4391926933994;52.4904866886662;0;0
13.4397556439823;52.4886666460419;0.206106555587231;0.206106555587231
13.4403260822167;52.4874062425863;0.145507783493434;0.351614339080665
13.4407824328043;52.4869596342703;0.05857294431029;0.410187283390955
13.4417277304499;52.4863343750097;0.0946808503061032;0.504868133697058
13.4441887639757;52.4851136051227;0.215415090052023;0.720283223749081
13.4458185875026;52.4842501132822;0.146599957563749;0.86688318131283
13.4521667501402;52.4810168309271;0.56164564836806;1.42852882968089
13.4560783266049;52.4789620967061;0.35057733654565;1.77910616622654
13.4580830095431;52.4779892905134;0.173982584745233;1.95308875097177
13.4585678820424;52.4775698852899;0.0571262991734651;2.01021505014524
13.4585841802777;52.4770338349239;0.0596600351710385;2.06987508531628
13.4584537943955;52.4765176321028;0.0581203539848056;2.12799543930108
13.4577040755731;52.4729586459357;0.399294031949136;2.52728947125022
13.4573781108677;52.4709482127269;0.224807482566153;2.75209695381637
13.4571662338092;52.4705014373194;0.0517584669223264;2.8038554207387
13.4563513220457;52.4694490151016;0.12954321396376;2.93339863470246
13.4546440819012;52.4671877114869;0.27708938312439;3.21048801782685
13.453486907197;52.4658373276927;0.169601222617095;3.38008924044394
13.4528023813157;52.4648940203191;0.114815413805815;3.49490465424976
13.4526719954336;52.4642684474394;0.0701731346569737;3.56507778890673
13.4527208901394;52.4636527956087;0.0685879190612281;3.63366570796796
13.4530305566095;52.4630569953165;0.0695589562438296;3.70322466421179
13.4536987842556;52.4622923731274;0.0964474336665665;3.79967209787836
13.4549496738125;52.4609765960645;0.169310313982295;3.96898241186065
13.4560905502814;52.4597551225381;0.156486336399414;4.12546874826007
