"RbId";"tBeg";"tEnd";"tVol_m3";"maxIntens_m3_s";"tBSB_g";"outlet_id";"upstream_link_id";"gerris_id";"surface_water";"water_body_km";"y-coordinate";"x-coordinate";"lat_grad";"lat_min";"lat_s";"lon_grad";"lon_min";"lon_s";"comment"
"R1321";2011-06-06 21:00:00;2011-06-06 21:30:00;163.161;0.112;28.01;"19224009";"19224901.1";"R1321";"Spree";14.8;23071.1;21702.8;52;31;19;13;22;33;NA
"R1323";2011-06-06 21:15:00;2011-06-06 21:30:00;272.97;0.221;29.37;"19243002";"19242E01.1";"R1323";"Spree";12.5;21195.6;21683;52;31;18;13;20;54;NA
"R1322";2011-06-06 21:15:00;2011-06-06 22:00:00;111.933;0.0944;0;"19246001";"19235702.1";"R1322";"Spree";12.8;21376.5;21447;52;31;11;13;21;3;NA
"R1324";NA;NA;0;0;0;"19252001";"20245701.1";"R1324";"Spree";12;20771.8;21813.7;52;31;23;13;20;31;NA
"R1325";2011-06-06 20:30:00;2011-06-06 20:45:00;8.253;0.0065;0;"19254003";"19254002.1";"R1325";"Spree";12;20721.7;21764.6;52;31;21;13;20;29;NA
"R1329";2011-06-08 11:00:00;2011-06-08 11:15:00;4.77;0.00289;0;"19262003";"19262702.1";"R1329";"Spree";10.1;19758.6;21935.8;52;31;26;13;19;37;NA
"R1741";2011-06-06 20:00:00;2011-06-08 16:00:00;731.556;0.243;35.84;"19262010";"19261507.1";"R1741";"Spree";9.9;19604.5;21972.3;52;31;28;13;19;29;NA
"R1328";NA;NA;0;0;0;"19262011";"19262704.1";"R1328";"Spree";10.3;19889.9;21801.9;52;31;22;13;19;44;NA
"R1333";NA;NA;0;0;0;"19275001";"19275E02.1";"R1333";"Spree";8.5;18544;21529.5;52;31;13;13;18;33;NA
"R1366";2011-06-06 20:15:00;2011-06-08 12:15:00;4301.505;2.14;257.32;"19276001";"18272702.1";"R1366";"Landwehrkanal";0.1;19178.3;21441.3;52;31;10;13;19;7;NA
"R1740";NA;NA;0;0;0;"19276002";"18272706.1";"R1740";"Spree";9;19035.2;21476.4;52;31;11;13;18;59;NA
"R1335";2011-06-06 20:00:00;2011-06-08 11:15:00;588.834;0.341;8.41;"19283001";"19283701.1";"R1335";"Spree";7.8;17891.9;21670.1;52;31;18;13;17;58;NA
"R1739";2011-06-06 20:15:00;2011-06-08 10:45:00;297.81;0.238;28.64;"19283004";"19283E03.1";"R1739";"Spree";7.9;17951.9;21710.3;52;31;19;13;18;2;NA
"R1334";2011-06-06 20:15:00;2011-06-08 10:45:00;49.869;0.0342;6.19;"19284002";"19286E03.1";"R1334";"Spree";8.1;18152.1;21623.9;52;31;16;13;18;12;NA
"R1332";2011-06-06 20:15:00;2011-06-08 11:30:00;2306.403;1.16;242.9;"19284007";"19284706.1";"R1332";"Spree";8.3;18297.4;21603.2;52;31;15;13;18;20;NA
"R1331";2011-06-06 20:15:00;2011-06-06 21:15:00;1125.936;0.6;78.86;"19286005";"19286702.1";"R1331";"Spree";8.3;18311;21548.3;52;31;14;13;18;21;NA
"R1752";2011-06-06 20:45:00;2011-06-06 21:15:00;261.234;0.245;32.36;"19363002";"19363E01.1";"R1752";"Untere_Havel";1.9;11503.5;21617.3;52;31;15;13;12;20;NA
"R1342";2011-06-06 21:15:00;2011-06-06 21:30:00;38.781;0.0377;0;"20224002";"20222706.1";"R1342";"Berlin-Spandauer_Schifffahrtskanal";11.6;22918;22336.5;52;31;40;13;22;25;NA
"R1343";2011-06-06 21:00:00;2011-06-06 21:00:00;3.168;0.00352;0.74;"20225001";"20223001.1";"R1343";"Berlin-Spandauer_Schifffahrtskanal";11.9;22743.4;22184.8;52;31;35;13;22;16;NA
"R1330";NA;NA;0;0;0;"20265002";"20265E01.1";"R1330";"Spree";9.8;19526.5;22046.5;52;31;30;13;19;25;NA
"R1353";NA;NA;0;0;0;"20276001";"20276E03.1";"R1353";"Charlottenburger_Verbindungskanal";0.6;18975.1;22099.2;52;31;32;13;18;56;NA
