"RbId";"tBeg";"tEnd";"tVol_m3";"maxIntens_m3_s";"tBSB_g";"outlet_id";"upstream_link_id";"gerris_id";"surface_water";"water_body_km";"y-coordinate";"x-coordinate";"lat_grad";"lat_min";"lat_s";"lon_grad";"lon_min";"lon_s";"comment"
"R1677";NA;NA;0;0;0;"16226011";"16226012.2";"R1677";"Landwehrkanal";4.4;22809.7;19771.5;52;30;17;13;22;20;NA
"R1670";2011-06-06 20:30:00;2011-06-06 21:00:00;252.54;0.196;8.29;"16231004";"16231001.1";"R1670";"Landwehrkanal";3.3;21760.4;19995.7;52;30;24;13;21;24;NA
"R1671";2011-06-06 20:30:00;2011-06-06 21:15:00;1129.05;0.678;116.15;"16234002";"16235E07.1";"R1671";"Landwehrkanal";3.6;22018;19895;52;30;21;13;21;38;NA
"R1674";2011-06-06 20:30:00;2011-06-06 20:30:00;2.691;0.00299;0.05;"16234003";"16234006.2";"R1674";"Landwehrkanal";3.8;22221.3;19887.4;52;30;20;13;21;48;NA
"R1672";2011-06-06 17:00:00;2011-06-08 10:45:00;331.569;0.187;9.47;"16234004";"16234010.2";"R1672";"Landwehrkanal";3.7;22134.4;19883;52;30;20;13;21;44;NA
"R1673";2011-06-06 20:45:00;2011-06-06 20:45:00;17.01;0.0189;0;"16234008";"16236E01.1";"R1673";"Landwehrkanal";3.7;22123;19865;52;30;20;13;21;43;NA
"R1665";2011-06-06 20:15:00;2011-06-06 20:45:00;72.45;0.0484;2.48;"16241002";"16241001.2";"R1665";"Landwehrkanal";2.4;21016.4;20157.1;52;30;29;13;20;44;NA
"R1666";2011-06-06 20:30:00;2011-06-06 21:15:00;58.887;0.0342;3.14;"16241004";"16241E03.1";"R1666";"Landwehrkanal";2.6;21145;20062;52;30;26;13;20;51;NA
"R1667";2011-06-06 16:15:00;2011-06-08 11:00:00;422.586;0.229;14.49;"16242003";"16242E01.1";"R1667";"Landwehrkanal";2.7;21201.7;20050.8;52;30;26;13;20;54;NA
"R1668";2011-06-06 20:30:00;2011-06-06 21:00:00;56.34;0.0378;2.17;"16244002";"16244E01.1";"R1668";"Landwehrkanal";2.8;21318;19947;52;30;22;13;21;1;NA
"R1669";2011-06-06 20:45:00;2011-06-06 21:30:00;6949.206;4.04;892.86;"16244004";"16244w07.1";"R1669";"Landwehrkanal";3;21481.7;19870.1;52;30;20;13;21;9;NA
"R1743";NA;NA;0;0;0;"17175008_1";"16171001.2";"R1743";"Spree";19.3;26582.6;20158.5;52;30;30;13;25;40;"Wehr, suffix \"_1\" selbst hinzugefügt"
"R1758";NA;NA;0;0;0;"17175008_2";"16171002.2";"R1758";"Spree";19.3;26582.6;20158.5;52;30;30;13;25;40;"Wehr, suffix \"_2\" selbst hinzugefügt"
"R1759";NA;NA;0;0;0;"17175008_3";"16171003.2";"R1759";"Spree";19.3;26582.6;20158.5;52;30;30;13;25;40;"Wehr, suffix \"_3\" selbst hinzugefügt"
"R1746";NA;NA;0;0;0;"17175009";"17175E03.1";"R1746";"Spree";19.3;26684.3;20292.3;52;30;34;13;25;45;NA
"R152";NA;NA;0;0;0;"17182002";"17182E01.1";"R152";"Spree";18.7;26262;20652.9;52;30;46;13;25;23;NA
"R151";NA;NA;0;0;0;"17184001";"17186051.2";"R151";"Spree";18.8;26171.2;20415.4;52;30;38;13;25;18;NA
"R1742";NA;NA;0;0;0;"17186003";"17186002.2";"R1742";"Spree";19.1;26409.9;20261.6;52;30;33;13;25;30;NA
"R1659";NA;NA;0;0;0;"17191001";"17193907.1";"R1659";"Kupfergraben";1.2;24877.3;20605.6;52;30;44;13;24;9;NA
"R1661";NA;NA;0;0;0;"17192004";"17194902.1";"R1661";"Kupfergraben";1.9;25439.1;20711.1;52;30;47;13;24;39;NA
"R1660";2011-06-06 20:00:00;2011-06-08 11:30:00;53.262;0.0105;8.15;"17193014";"17193912.1";"R1660";"Kupfergraben";1.5;25086.8;20504.6;52;30;41;13;24;20;NA
"R1356";2011-06-06 16:15:00;2011-06-08 11:45:00;1104.138;0.417;58.96;"17251002";"17266904.1";"R1356";"Landwehrkanal";1.3;20035.8;20630.5;52;30;44;13;19;52;NA
"R1664";2011-06-06 20:45:00;2011-06-06 21:00:00;965.07;0.981;62.34;"17251M04";"FASKANE1.1";"R1664";"Landwehrkanal";1.3;20037;20628.8;52;30;44;13;19;52;NA
